monthly_bill_amount,contract_length_months,service_calls_last_3_months,service_issues_last_3_months,total_services_subscribed,months_as_customer,avg_monthly_usage_gb,churn_status
67.85,12,4,1,3,89,260.2,No
124.5,6,1,0,4,45,30.5,No
69.71,12,0,2,4,91,362.1,Yes
120.12,6,1,2,3,96,372.5,Yes
77.26,12,2,0,4,97,312.5,No
129.73,24,1,0,3,53,146.1,No
29.91,24,3,2,4,56,162.1,No
82.55,24,1,2,5,117,212.8,No
80.69,6,1,0,4,57,86.1,No
54.36,1,2,2,4,103,292.4,No
142.67,6,2,3,5,56,166.4,No
137.65,24,0,0,2,81,368.3,No
77.67,6,0,1,2,119,232.8,No
32.63,12,1,0,2,12,161.6,No
46.88,12,2,1,5,88,261.3,No
55.29,12,1,0,4,13,280.1,No
82.95,1,0,1,3,113,161.7,No
63.99,12,4,3,4,71,461.3,No
120.64,12,0,5,1,32,289.6,No
81.88,6,1,1,4,53,269.6,No
133.15,1,1,1,1,56,342.7,No
149.45,6,0,2,1,116,392.0,Yes
48.58,12,5,1,3,42,477.4,Yes
99.52,12,1,0,5,85,69.4,No
130.18,24,1,3,1,95,265.0,No
142.88,24,2,0,4,118,157.5,No
57.71,6,3,1,5,93,402.6,No
114.52,6,0,0,4,105,383.2,No
21.95,6,1,3,3,97,220.8,No
134.29,6,2,0,4,92,211.8,Yes
28.31,1,2,0,1,103,54.7,No
115.34,24,2,0,3,64,445.3,No
149.3,12,1,1,4,71,333.1,No
85.15,12,2,0,4,93,155.8,No
47.21,12,1,1,3,60,356.6,No
97.3,1,1,1,2,8,101.0,No
101.14,24,2,1,3,17,340.2,No
106.85,12,2,1,4,76,166.0,No
42.44,6,2,2,3,76,475.4,No
136.83,6,1,1,2,69,144.5,Yes
100.73,6,2,1,3,26,160.2,No
25.66,24,2,2,4,55,379.3,No
108.93,6,0,1,2,16,380.8,No
45.49,24,2,2,2,84,273.5,Yes
23.55,6,0,0,1,52,44.2,Yes
91.62,24,2,1,4,40,237.9,No
125.73,12,2,1,3,36,134.3,No
131.79,24,1,0,2,20,364.3,No
33.46,6,2,1,2,29,186.6,No
106.2,6,1,0,4,81,329.7,Yes
112.31,24,2,0,4,66,72.1,No
58.29,1,1,1,2,34,191.6,No
146.28,1,2,0,3,20,182.1,Yes
56.23,1,1,1,3,94,414.4,Yes
29.1,12,0,1,4,16,406.7,No
87.51,24,3,0,5,99,88.7,No
110.26,12,0,1,2,16,163.2,Yes
51.81,24,1,0,3,109,498.3,No
64.02,24,1,1,5,100,495.7,No
93.27,12,0,0,5,35,179.8,No
135.27,12,0,1,5,34,495.0,No
117.15,6,1,1,5,112,57.2,No
47.25,6,0,0,1,27,318.3,No
52.73,12,1,1,3,22,212.3,No
88.1,24,0,0,2,84,283.4,Yes
119.96,1,2,3,1,115,131.8,Yes
100.44,24,1,2,5,103,192.3,No
85.17,1,1,1,5,117,216.4,No
97.63,12,1,0,2,70,162.0,No
118.29,12,0,0,5,88,210.3,Yes
89.82,1,1,0,3,18,466.9,No
136.71,1,3,2,1,50,348.3,No
143.12,1,5,2,3,46,453.1,No
139.0,6,2,1,1,2,123.5,No
118.09,1,2,0,2,99,340.5,No
52.02,6,1,1,5,67,406.1,No
70.09,1,1,1,5,98,137.9,No
56.4,12,2,0,2,91,366.8,Yes
105.5,24,2,1,4,4,192.6,Yes
62.15,12,1,2,4,35,61.7,No
118.07,1,3,0,4,61,24.5,Yes
34.76,12,2,1,5,79,144.2,Yes
120.8,1,0,2,3,77,204.6,No
96.17,24,3,2,2,6,385.1,No
128.6,1,3,1,4,12,183.0,Yes
76.01,12,1,1,4,49,75.2,No
101.25,12,1,1,3,115,339.1,No
92.07,12,3,0,4,108,491.7,Yes
146.84,1,1,0,4,58,440.6,Yes
118.21,24,2,0,3,7,62.0,Yes
90.83,12,0,2,3,119,241.9,Yes
42.62,12,2,0,5,90,179.3,No
137.53,1,2,0,3,51,87.2,No
46.76,1,4,2,3,60,424.2,No
104.51,12,0,1,3,9,344.0,No
141.74,1,1,1,4,110,156.4,Yes
49.07,12,0,1,5,36,152.5,No
49.37,6,3,1,5,69,224.6,No
130.74,1,0,2,4,59,103.1,Yes
127.6,6,1,0,3,55,120.4,Yes
65.72,6,1,1,3,68,344.4,No
54.46,6,2,3,4,33,340.2,Yes
36.56,12,2,1,4,42,224.3,No
148.43,12,2,1,3,62,245.6,Yes
128.59,24,1,1,4,89,20.0,Yes
136.92,12,3,1,2,4,497.2,Yes
86.78,12,1,2,2,4,352.6,No
34.87,1,2,2,4,101,477.8,No
26.84,1,2,3,5,40,448.2,Yes
62.98,24,2,1,4,72,67.4,No
139.64,6,2,2,2,108,21.9,No
143.19,6,0,0,4,84,77.9,No
129.35,24,0,0,2,74,117.4,Yes
40.63,1,2,1,2,80,85.2,Yes
74.59,24,2,0,5,29,319.9,Yes
52.01,1,2,2,2,53,18.9,No
46.7,12,0,0,5,64,71.1,Yes
109.03,1,1,0,1,85,180.9,Yes
83.19,1,1,1,2,2,217.6,No
62.24,12,2,0,3,18,443.2,No
33.03,6,0,1,4,64,236.7,No
90.82,6,1,0,5,31,211.1,Yes
65.11,12,2,0,1,111,252.5,No
70.84,12,1,1,4,83,476.4,No
60.37,12,0,0,1,82,225.7,No
70.34,6,3,0,1,84,173.8,No
92.26,12,3,1,3,110,316.0,Yes
21.84,6,2,2,5,86,249.1,Yes
130.19,12,1,1,5,65,85.7,No
139.85,6,3,1,5,37,331.7,No
91.57,6,3,0,2,102,309.1,Yes
54.84,12,2,0,2,46,309.3,Yes
148.73,6,0,2,4,26,324.0,No
69.82,6,0,0,1,58,444.4,Yes
110.18,24,1,2,1,119,280.5,Yes
109.69,24,1,4,2,83,76.1,No
76.46,1,2,0,3,72,279.1,No
45.89,12,2,1,3,67,485.0,Yes
145.66,12,2,0,3,11,328.8,No
28.28,12,2,1,3,38,310.8,Yes
83.07,6,0,1,4,60,64.7,Yes
48.69,12,0,0,1,41,164.1,Yes
58.22,24,1,1,3,32,198.1,No
127.71,12,2,0,5,78,485.6,No
67.74,24,0,1,5,67,173.6,Yes
30.84,24,0,1,1,71,56.3,No
45.52,12,1,3,4,100,497.6,No
131.85,24,4,0,5,58,356.7,No
147.01,6,1,1,4,103,12.5,Yes
54.84,6,0,1,5,109,299.5,No
107.8,1,1,1,5,105,123.9,No
30.56,24,2,1,3,25,84.5,No
114.05,12,1,0,1,77,488.3,Yes
74.14,24,2,2,2,59,493.1,No
139.36,1,2,0,2,65,468.7,No
60.5,24,1,0,3,17,141.2,No
142.39,1,1,1,2,5,315.2,No
85.42,12,2,1,2,37,382.3,No
65.36,6,2,1,4,62,395.8,No
104.11,24,0,1,2,115,189.0,No
52.47,6,2,1,5,45,17.4,No
49.87,12,0,0,4,94,437.8,No
45.53,12,2,1,5,63,226.7,No
144.79,24,2,0,4,19,31.0,No
84.08,24,1,1,1,91,222.4,No
117.71,12,0,3,4,51,393.7,No
81.62,12,0,0,1,79,213.3,No
96.38,12,1,0,1,90,280.2,No
95.94,1,2,1,3,21,308.6,No
147.39,1,4,1,1,117,11.0,No
106.9,12,3,1,1,42,135.6,Yes
51.17,1,1,1,5,2,259.9,Yes
21.98,6,3,2,2,11,427.0,No
48.43,1,0,0,1,117,170.0,Yes
79.22,1,2,3,3,6,231.3,Yes
71.14,1,0,2,2,74,432.4,Yes
125.6,1,1,2,5,9,71.1,No
122.12,6,1,1,5,114,357.3,No
31.58,6,0,0,1,54,495.3,No
143.76,12,0,0,1,67,441.7,No
88.57,6,0,0,4,98,157.2,No
97.53,12,1,1,1,67,181.7,Yes
72.66,6,0,0,3,85,272.4,No
104.44,24,1,1,4,22,134.8,No
133.27,12,1,0,1,101,94.2,No
107.61,24,0,1,4,24,38.2,Yes
146.11,6,1,0,1,43,59.9,No
111.15,24,3,0,3,8,498.6,No
126.82,6,0,1,3,52,392.5,No
25.86,12,2,2,1,23,102.8,No
107.45,1,1,0,1,40,280.0,No
105.12,1,2,3,5,27,50.1,No
33.23,12,1,1,1,84,165.4,No
129.51,24,2,1,3,94,473.2,No
99.84,1,2,0,4,33,363.6,No
32.78,12,2,0,3,22,410.4,No
97.28,24,2,0,3,14,223.3,No
82.19,12,0,1,1,19,75.9,Yes
50.33,12,0,1,1,98,464.6,No
22.57,12,1,1,3,58,438.1,No
67.52,12,2,2,2,39,395.6,Yes
100.58,24,1,0,5,110,480.5,No
62.81,6,1,4,3,73,321.4,Yes
59.94,24,4,4,4,63,347.3,Yes
117.65,12,3,0,2,75,111.7,No
118.62,6,2,0,2,11,499.9,No
113.44,24,2,1,1,107,65.0,No
33.15,1,0,2,2,54,232.7,No
87.1,1,1,0,3,37,26.0,No
92.51,12,1,0,3,112,19.9,No
116.82,1,0,0,3,92,231.8,No
137.41,24,0,2,1,3,148.6,Yes
67.98,6,1,3,5,22,494.2,No
75.73,6,1,0,2,58,158.0,No
115.26,6,0,0,3,80,428.9,Yes
106.14,24,2,0,4,56,479.8,Yes
92.52,6,1,1,4,84,471.7,No
65.52,12,2,1,3,20,467.1,No
45.4,1,1,0,1,69,449.2,No
43.89,1,1,1,3,14,221.8,Yes
30.61,12,2,1,2,109,161.1,No
30.56,12,1,2,4,108,305.5,No
129.95,12,2,2,5,37,220.6,No
69.88,24,1,0,2,92,496.9,Yes
27.9,6,1,0,1,108,459.3,No
136.54,24,0,1,4,93,63.8,No
49.03,1,1,2,1,118,408.2,No
54.86,1,0,1,4,107,110.5,No
45.28,12,0,0,5,59,305.9,No
145.78,12,1,0,1,52,259.4,No
34.63,6,2,2,1,32,464.6,No
113.88,1,3,2,5,52,407.4,No
141.17,12,1,2,3,90,153.4,No
106.84,6,3,1,4,118,148.2,No
131.63,6,1,0,2,23,43.8,No
51.52,1,1,3,1,110,172.1,No
107.61,24,2,1,3,110,133.9,No
111.11,12,1,1,1,114,231.3,No
79.58,1,6,2,5,60,383.5,No
133.17,1,1,1,3,75,28.2,No
110.27,1,2,0,5,40,180.8,No
136.33,1,4,3,3,63,124.6,No
117.92,12,2,1,4,59,100.8,No
87.64,6,0,1,3,111,67.7,Yes
84.83,6,2,1,2,12,255.3,Yes
78.98,6,0,1,4,36,346.7,No
22.81,12,1,4,5,110,230.1,Yes
89.57,12,1,4,3,27,474.6,No
74.99,12,1,0,4,58,263.0,No
40.48,12,0,1,5,106,298.3,No
35.48,6,2,0,5,16,249.4,Yes
78.42,6,2,1,4,8,312.8,No
25.19,6,0,0,5,114,332.4,No
148.26,24,0,4,2,17,397.4,No
69.16,1,3,1,3,9,161.2,Yes
69.67,6,2,0,1,23,244.2,No
26.65,24,1,0,4,100,436.8,No
75.47,24,2,1,5,94,466.1,No
22.05,6,3,0,4,31,187.0,No
23.91,24,4,2,3,36,495.8,No
64.08,12,1,1,1,31,144.6,Yes
126.73,6,2,0,2,63,20.4,No
79.65,6,1,0,4,10,303.0,No
21.93,24,1,0,3,39,234.0,Yes
41.22,6,0,2,5,91,66.2,Yes
116.19,6,0,1,3,42,225.1,Yes
115.98,1,0,1,2,22,485.2,No
118.09,12,3,0,4,44,37.5,Yes
65.72,6,1,0,5,102,476.1,No
65.8,24,2,1,2,101,145.7,No
124.27,1,3,0,5,46,312.0,No
71.76,24,5,1,5,100,388.1,No
114.53,1,1,0,1,21,166.4,No
95.55,6,1,1,5,5,188.3,No
67.36,12,2,2,5,71,87.1,Yes
30.4,24,0,0,5,35,182.7,No
35.1,24,1,0,5,11,378.2,Yes
135.64,6,3,2,5,57,313.3,No
78.8,1,2,1,5,99,444.7,No
149.22,12,1,1,3,42,68.3,No
67.31,6,3,1,5,98,178.5,No
52.49,24,3,2,4,68,37.4,Yes
65.57,1,4,1,2,17,229.2,Yes
64.6,1,1,0,3,25,63.1,Yes
102.86,1,3,2,4,18,134.1,No
21.66,12,1,0,1,104,213.7,No
119.22,1,3,3,1,75,219.3,No
74.13,12,2,0,1,14,463.0,Yes
76.19,12,0,0,5,102,186.0,No
82.54,1,0,2,3,70,16.8,No
78.4,1,0,0,2,34,385.1,No
84.67,1,1,0,1,107,351.5,No
64.97,1,1,1,3,64,61.1,No
78.93,12,1,0,4,8,432.9,Yes
72.6,6,2,4,4,107,440.4,Yes
87.37,12,0,1,2,75,104.5,No
101.02,1,2,1,5,91,377.5,Yes
51.34,12,4,1,5,29,309.3,Yes
86.1,1,2,2,1,99,71.1,No
97.3,24,0,0,1,6,398.5,Yes
22.2,24,3,0,1,35,82.8,No
87.66,1,1,2,4,71,139.6,No
51.11,1,0,0,1,47,430.5,No
72.59,12,1,2,2,34,179.2,Yes
127.45,6,2,2,1,116,130.9,No
62.41,12,0,1,2,114,290.7,No
82.82,12,1,0,3,98,487.3,No
23.22,1,1,1,5,89,261.2,No
60.14,6,0,1,5,19,169.1,No
103.16,12,1,4,2,73,463.8,No
60.97,1,3,1,1,76,449.1,No
46.75,1,0,0,3,69,308.3,No
57.79,12,3,1,5,16,384.3,No
144.07,1,2,1,2,105,75.2,No
31.28,24,1,1,3,92,59.3,Yes
80.24,24,3,4,3,96,41.1,No
27.59,12,3,2,4,20,338.1,No
90.03,24,2,1,3,81,112.0,No
38.98,24,0,1,4,39,152.4,No
102.43,12,2,0,2,55,282.2,Yes
54.37,24,0,1,1,68,221.7,No
109.82,12,1,1,2,80,418.3,Yes
65.13,6,3,0,3,5,190.9,No
20.54,12,1,2,5,106,331.6,No
58.34,1,0,0,2,46,187.2,Yes
30.65,1,1,1,5,34,262.8,Yes
84.36,6,3,1,4,95,257.3,No
57.56,6,0,1,1,72,468.5,No
103.2,1,4,1,2,18,383.9,Yes
84.99,12,4,1,2,60,90.7,No
24.69,24,3,0,3,70,76.1,No
61.42,6,1,1,3,74,257.5,Yes
83.58,12,1,0,5,115,215.9,No
94.39,6,1,2,1,99,318.4,No
33.63,6,0,0,2,64,229.1,No
104.5,6,2,2,1,18,267.6,No
64.68,6,1,1,3,24,233.9,Yes
43.78,6,2,2,4,81,292.8,Yes
124.69,6,2,0,2,118,239.0,No
28.92,1,1,2,5,110,53.0,No
140.87,24,1,0,3,20,197.8,No
111.81,1,1,0,4,108,355.7,Yes
81.83,12,1,1,1,3,250.2,No
21.45,6,0,2,1,73,168.4,No
70.72,12,3,1,4,119,258.3,No
103.95,24,1,3,3,55,486.2,Yes
131.66,1,0,2,5,31,441.1,No
100.31,6,0,0,1,95,184.5,No
71.7,6,4,2,1,11,440.1,No
78.16,6,1,2,4,47,214.7,No
133.53,12,1,0,5,15,443.2,No
65.68,1,4,2,3,9,6.9,No
28.47,12,1,2,5,22,378.6,No
77.55,1,0,1,5,50,127.7,No
149.8,1,0,1,4,31,172.6,Yes
69.37,1,1,0,5,4,198.8,No
45.1,12,2,2,3,18,360.8,Yes
25.87,12,2,3,3,83,248.0,No
42.23,6,2,1,1,98,136.3,No
62.13,6,1,1,1,12,485.7,No
94.66,12,0,1,5,77,323.7,Yes
106.53,6,1,1,3,96,175.5,No
25.57,12,2,2,5,37,144.2,No
141.7,6,1,2,2,118,291.6,No
50.63,6,0,2,3,95,232.0,No
39.38,12,1,2,3,5,18.5,No
89.01,12,1,1,2,70,223.3,Yes
108.09,1,0,1,5,108,499.7,No
59.94,12,0,1,5,22,192.7,No
107.03,12,0,0,2,27,390.4,Yes
58.26,24,1,0,4,64,81.4,No
137.28,12,0,1,5,89,410.2,Yes
134.49,24,0,1,4,2,112.4,No
29.26,12,2,1,1,105,461.2,Yes
39.55,1,1,0,3,63,48.4,No
110.75,24,1,1,1,59,126.1,Yes
20.02,6,1,2,1,76,136.3,No
126.84,12,2,0,4,79,472.6,No
66.31,12,1,1,3,44,427.1,Yes
116.8,24,3,1,5,3,351.6,Yes
25.75,1,0,0,1,85,16.9,No
47.2,12,3,0,2,92,18.8,Yes
29.2,6,2,3,4,24,440.4,No
43.38,6,0,1,1,25,7.5,No
69.97,1,3,1,2,96,327.6,Yes
83.9,6,1,2,5,60,430.5,No
139.09,1,1,1,5,47,488.4,Yes
101.53,12,2,1,5,87,299.6,No
111.84,6,2,0,5,61,413.0,No
30.67,12,1,1,1,67,342.3,No
57.28,6,1,0,2,75,45.6,No
148.93,12,1,1,2,31,312.4,No
92.85,12,1,2,3,49,208.2,Yes
122.42,24,1,1,1,32,111.1,No
24.22,6,3,0,4,5,310.9,No
30.93,24,1,1,5,36,384.9,No
34.2,12,0,1,5,45,221.3,No
21.99,6,4,1,1,23,437.7,No
139.86,6,0,1,5,83,431.2,Yes
52.97,24,2,0,2,31,177.1,Yes
149.55,12,0,1,5,72,163.8,No
115.96,12,0,1,1,2,124.9,Yes
52.58,24,3,1,3,76,278.6,No
148.93,1,3,0,5,88,87.8,No
132.91,6,2,0,3,41,470.2,Yes
41.45,12,1,0,2,8,170.3,No
44.09,12,1,0,2,69,435.1,No
108.42,24,3,1,1,79,407.6,Yes
30.18,6,1,0,3,17,278.1,No
95.99,1,0,0,2,112,221.0,No
28.66,12,3,2,1,115,274.2,No
48.77,12,2,1,1,109,143.4,No
143.3,12,4,0,3,31,78.7,No
84.81,12,1,0,5,16,197.1,No
94.58,6,0,0,4,105,305.4,Yes
55.06,6,1,1,2,65,379.8,No
77.21,24,0,0,4,31,122.4,No
37.29,12,2,0,1,24,107.9,No
87.16,6,2,1,5,57,205.2,Yes
27.01,12,2,2,5,3,392.9,Yes
26.27,6,4,0,4,45,32.0,No
108.35,12,0,0,4,118,444.4,No
27.15,24,2,0,5,91,95.1,No
87.77,24,1,1,5,83,195.3,Yes
54.58,1,1,0,3,12,452.6,No
44.4,12,4,1,2,118,128.9,Yes
94.53,24,1,0,5,69,8.5,Yes
58.54,24,2,0,1,62,398.5,Yes
79.33,6,0,0,5,103,167.5,No
38.07,6,1,1,3,60,169.5,No
36.44,12,2,1,3,114,147.8,Yes
33.85,24,2,2,4,91,424.0,No
29.3,12,2,1,3,3,17.1,No
91.98,6,1,1,1,109,83.1,No
118.28,6,2,1,3,36,492.4,No
123.01,24,4,2,1,37,29.7,Yes
144.52,12,2,0,3,7,304.6,No
41.89,6,3,1,2,5,495.0,No
37.63,6,0,0,3,83,204.6,Yes
81.09,1,1,2,1,20,95.3,No
131.93,12,3,2,5,15,350.3,Yes
119.72,6,1,2,1,7,483.7,No
92.56,6,2,1,3,23,195.9,Yes
40.38,24,2,0,3,80,357.6,No
70.86,12,1,0,4,94,56.7,Yes
113.51,12,5,2,1,37,83.3,No
68.54,1,1,2,2,2,282.1,No
25.09,12,3,0,4,86,470.6,No
95.9,24,0,0,4,117,438.0,No
113.62,6,3,1,4,82,322.4,No
112.92,24,0,1,3,79,400.6,Yes
41.43,12,3,1,4,43,188.8,No
63.68,6,1,0,4,79,476.9,No
73.19,1,2,0,2,27,154.8,No
74.66,12,0,1,1,98,286.0,No
34.84,6,2,2,2,30,429.7,Yes
70.12,24,3,0,4,42,87.4,No
85.86,12,1,1,1,106,476.5,No
112.37,6,2,0,5,14,2.3,No
94.03,6,2,0,4,53,374.6,No
72.64,1,2,1,5,6,114.4,No
140.59,12,1,1,1,109,173.9,No
97.75,24,3,0,1,105,180.0,No
146.72,6,2,3,2,92,246.0,No
132.76,12,2,1,1,114,1.3,No
107.57,1,1,1,5,47,107.7,Yes
136.91,24,2,0,2,20,141.7,No
148.86,6,2,0,4,11,8.2,No
48.71,12,2,3,4,19,188.8,Yes
109.84,12,0,0,1,98,103.1,Yes
139.44,12,4,0,4,7,155.2,No
22.26,24,1,1,1,5,47.6,No
123.93,24,4,0,2,53,87.2,Yes
31.62,6,3,1,1,82,246.6,Yes
139.15,12,1,1,1,90,50.8,Yes
99.56,1,1,2,1,77,485.6,No
41.07,12,2,0,3,47,150.3,No
25.12,12,1,0,3,69,204.2,No
127.62,24,2,2,4,81,86.1,No
38.13,12,0,1,3,100,459.9,No
142.14,6,2,1,3,105,305.5,Yes
31.81,6,2,2,4,29,245.2,No
128.94,1,1,0,3,36,475.6,No
75.06,6,0,3,3,71,200.6,Yes
133.46,24,2,0,4,81,29.0,Yes
119.91,24,1,1,5,86,263.3,No
130.87,24,4,2,1,73,474.1,No
81.13,24,3,1,1,70,357.4,No
112.79,6,0,0,3,14,205.7,Yes
61.43,12,0,0,5,71,467.8,No
26.13,12,0,1,5,35,390.7,No
50.21,12,0,2,4,28,21.5,No
20.18,12,0,3,4,35,27.9,No
67.19,1,2,2,3,115,127.3,No
84.2,12,2,2,3,44,277.5,Yes
22.52,1,2,1,4,67,267.7,Yes
21.0,12,2,0,3,67,347.6,No
109.24,6,4,0,1,113,459.7,No
33.06,12,2,0,3,85,116.8,No
29.6,12,0,2,4,11,243.7,No
84.43,12,1,1,5,55,404.0,No
113.36,24,0,1,2,70,259.6,No
147.03,6,1,2,3,54,396.9,No
58.4,24,2,1,2,100,177.5,No
35.28,24,3,2,2,21,302.0,No
28.91,1,0,2,3,46,39.7,No
46.98,24,0,1,5,8,30.2,Yes
33.01,12,1,1,3,35,297.2,No
20.44,24,2,1,1,89,491.2,No
57.06,12,3,2,1,77,439.8,No
41.35,12,0,0,3,28,213.2,No
22.37,12,0,0,5,31,421.3,No
66.1,24,1,1,5,14,351.8,No
127.37,12,1,0,1,39,315.0,No
59.48,6,2,3,3,66,203.5,No
112.31,1,2,0,5,107,254.1,No
114.74,24,4,1,3,25,475.1,Yes
23.32,24,1,1,4,31,72.3,Yes
145.03,12,2,2,4,32,361.2,No
38.07,12,1,1,4,1,294.9,Yes
113.27,12,0,1,4,78,454.8,No
69.33,24,1,0,4,22,236.6,No
132.87,24,1,1,1,10,221.6,No
149.34,6,2,1,3,23,201.9,Yes
45.13,6,0,1,2,81,452.8,No
126.53,1,2,0,1,70,195.1,No
85.72,24,2,1,4,29,292.9,No
145.51,24,2,1,2,85,171.7,Yes
105.55,12,0,2,3,54,303.8,No
97.12,6,0,0,4,85,470.4,Yes
49.84,12,2,0,1,33,218.7,No
113.43,12,1,0,3,55,485.6,No
57.47,6,0,1,2,54,294.7,No
129.95,6,1,1,1,89,187.4,No
147.04,12,1,1,1,78,113.5,Yes
21.01,12,2,0,2,83,26.4,No
144.1,12,2,1,3,50,230.3,Yes
66.6,6,2,1,3,57,246.7,Yes
83.48,6,1,1,2,117,325.1,Yes
140.13,12,2,0,1,73,327.4,Yes
120.87,1,1,2,3,42,409.5,Yes
51.62,24,4,0,1,73,150.9,No
32.59,24,2,1,5,7,216.7,No
129.36,24,0,2,2,90,248.8,Yes
117.12,6,2,0,5,60,475.6,No
131.58,12,1,0,5,16,24.6,No
69.93,12,2,1,5,105,79.0,No
83.97,6,0,1,5,27,348.9,No
80.45,24,1,0,5,92,185.3,Yes
60.91,12,2,4,2,82,48.4,Yes
63.64,1,1,0,3,32,418.8,No
113.42,6,1,0,2,119,322.6,No
117.9,12,2,1,4,52,198.7,No
132.3,24,2,1,5,81,28.1,Yes
129.84,12,2,4,3,93,173.8,No
118.01,12,0,1,4,82,93.4,No
63.26,12,2,0,5,82,440.4,Yes
112.31,6,3,1,2,112,456.1,Yes
146.44,1,1,1,3,60,105.0,No
139.11,6,1,1,4,96,337.1,No
146.29,6,4,0,5,92,448.7,No
24.71,12,4,1,2,101,55.6,No
99.51,6,2,1,2,97,286.1,No
47.99,6,1,0,3,98,290.6,No
52.05,6,0,0,5,40,103.9,No
129.73,24,1,1,4,73,25.7,No
117.52,12,4,0,3,27,53.1,No
62.74,6,2,2,2,93,450.0,No
87.59,6,1,2,3,6,240.6,No
44.48,6,1,0,2,41,132.9,No
20.5,6,1,2,5,111,388.4,Yes
136.99,12,0,2,4,34,270.5,No
112.25,1,3,0,4,83,432.6,Yes
88.75,24,2,2,1,99,123.4,Yes
27.03,6,2,1,2,83,305.1,Yes
74.71,24,1,0,4,92,15.7,No
69.41,6,1,0,4,101,232.4,No
42.3,12,2,4,4,14,365.9,Yes
40.3,6,2,2,4,20,187.9,No
42.51,24,1,0,2,9,72.1,Yes
97.59,12,2,0,5,102,246.4,Yes
36.21,12,1,0,3,12,24.6,No
51.01,1,0,1,1,9,163.9,Yes
143.02,6,2,3,5,20,21.8,No
48.53,12,1,0,3,42,204.9,No
119.3,6,4,1,5,51,454.6,Yes
97.75,12,2,1,1,58,125.8,Yes
73.71,12,1,1,3,77,305.5,No
97.39,1,3,0,5,74,9.4,Yes
37.37,1,0,1,4,58,402.9,No
82.94,1,2,1,4,37,262.7,No
146.38,1,2,1,1,46,200.9,Yes
75.6,6,1,0,3,108,219.2,No
51.57,12,2,4,3,20,281.5,No
140.58,6,2,0,2,4,286.7,No
99.4,1,0,0,3,90,211.1,No
114.62,12,0,1,4,79,218.1,No
90.64,24,2,1,3,15,90.2,Yes
21.46,1,2,1,5,72,47.5,Yes
118.24,6,1,0,4,63,473.3,Yes
147.23,1,2,0,1,11,274.8,No
113.1,1,0,1,3,1,54.6,Yes
125.14,1,4,1,5,20,280.4,Yes
130.71,12,1,0,2,25,180.0,No
149.9,12,1,1,2,92,401.0,Yes
57.52,6,3,0,5,5,215.9,Yes
78.42,12,1,0,3,86,124.8,No
90.57,6,0,2,2,52,33.5,No
39.82,6,1,0,4,88,492.7,Yes
82.53,1,1,2,4,27,200.5,No
56.01,1,2,1,5,57,414.0,No
128.8,6,3,1,5,103,304.4,Yes
65.12,6,0,0,2,71,101.8,No
30.62,1,0,0,5,69,182.8,No
21.31,12,0,0,2,17,317.0,Yes
131.87,12,1,0,1,114,251.5,No
131.65,12,0,2,3,60,105.6,No
141.43,6,2,2,1,31,108.0,Yes
29.43,12,1,2,3,30,451.8,No
71.32,6,0,3,2,51,398.7,No
75.67,6,1,1,3,28,451.2,Yes
131.91,12,1,0,1,19,24.7,Yes
53.98,6,1,2,4,1,77.5,No
59.29,6,2,0,2,82,137.7,Yes
115.25,12,2,0,5,23,487.7,No
43.41,12,1,1,4,98,284.5,No
102.6,12,4,3,1,62,231.2,No
116.49,12,0,0,2,47,261.0,No
43.46,1,3,2,2,110,171.1,No
48.85,1,2,2,5,19,492.4,No
110.98,12,3,1,3,91,143.4,Yes
123.29,24,3,0,5,79,447.2,No
143.94,24,1,2,4,50,339.9,No
60.12,12,3,0,2,30,113.8,Yes
91.32,6,0,0,5,20,121.0,No
39.09,6,0,1,5,80,423.2,No
76.8,12,2,2,5,44,372.4,No
53.95,6,1,1,3,76,274.7,Yes
65.34,12,3,2,2,34,358.9,No
124.44,24,1,1,1,111,319.7,No
124.42,6,2,2,5,69,347.1,No
111.59,24,1,0,5,103,20.1,Yes
36.07,6,1,0,2,115,275.9,No
56.92,6,2,1,1,109,372.0,No
142.11,12,0,0,2,70,288.3,No
78.83,24,5,1,1,50,444.9,No
100.84,12,1,0,3,46,209.7,No
22.38,12,0,0,2,92,29.3,No
87.34,24,0,3,2,4,318.2,No
109.59,24,1,2,1,61,352.1,No
27.65,24,0,2,5,89,23.0,No
34.99,6,1,0,2,39,482.9,Yes
67.89,6,0,1,2,80,445.6,No
142.78,12,1,1,5,2,346.6,No
52.34,12,3,2,4,20,476.7,Yes
22.81,12,1,0,3,42,166.6,No
125.21,12,0,1,4,39,225.9,No
130.4,12,3,0,1,54,326.1,No
89.77,6,1,1,3,44,208.3,Yes
136.1,12,0,1,4,28,461.3,No
43.27,6,0,1,3,67,460.5,No
55.71,6,0,0,1,49,414.4,No
22.66,6,2,1,5,12,95.6,Yes
95.85,6,0,1,4,79,207.6,No
135.36,6,2,1,1,23,259.1,No
98.83,6,1,0,1,44,460.3,No
30.44,12,0,0,2,61,309.5,No
110.12,12,1,1,2,62,470.9,Yes
107.87,12,0,1,1,25,283.0,No
41.68,12,0,0,4,27,495.7,No
127.77,6,0,0,3,56,417.2,Yes
138.61,12,2,1,5,112,42.9,No
70.92,24,3,1,3,67,410.5,No
60.14,6,1,0,3,65,411.6,Yes
94.71,1,0,1,3,78,455.0,No
146.43,6,0,1,4,71,255.8,Yes
